Product_Name,Price_AUD,Link,Computer type,Laptop series,Display size (inches),Screen size range,Resolution (Pixels),Screen Resolution,Refresh Rate (Hz),Processor Type,Processor Model Number,Processor Cores,Processor Memory Cache,Processor Max. Clock Speed (GHz),Copilot+ PC,AI features,RAM (GB),RAM type,SSD storage,SSD form factor,Total Storage,Graphics processor,HDMI ports,USB 3.2 Ports,USB-C Ports,USB (Type-C) Port,Headphone port (3.5mm),Webcam,Bluetooth,Backlit keyboard,Wi-Fi,Battery life,Battery WHr,Battery cell count,Operating system,Colour,Product Height (mm),Product Width (mm),Product Depth (mm),Product Weight (kg),Lightweight,Manufacturer's warranty,Display type,Touchscreen,Processor Clock Speed (GHz),USB Ports,Thunderbolt 4.0 ports,Charge port,Card reader,RAM speeds,Manufacturer's Warranty,USB 2.0 Ports,Expandable memory slot(s),Graphics memory,Gaming PC,Graphics card series,Ethernet / LAN ports,eMMC storage,Microsoft Surface type,Neural Processing Unit (NPU),TOPS (AI metric),Travel laptop,Surface Connect ports,Thunderbolt 5.0 ports,Battery capacity (mAh),PC Gaming Device,Memory type,Performance Laptop,Tablet Type,Aspect ratio,RAM module configuration,Flash storage,Expandable storage type,USB 3.1 Ports,Intel Evo device,Response Time (ms),Warranty notes,Thunderbolt 1.0 ports,Contains button battery,Product condition,Network compatibility,USB 3.0 Ports,Mini HDMI ports,Thunderbolt 3.0 ports,Internal memory,Power supply type,Virtual Assistant Built-in,Pack quantity
"Apple MacBook Air 15-inch with M4 Chip, 512GB/24GB (Midnight)",2399,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-24gb-midnight,MacBook Air,,15.3,"15"" to 16.9""",2880 x 1864,,,Apple M4,,10 Core,,,,,24,,512GB,,512GB,10-core GPU,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Midnight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 15-inch with M4 Chip, 256GB/16GB (Midnight)",1799,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-256gb-16gb-midnight,MacBook Air,,15.3,"15"" to 16.9""",2880 x 1864,,,Apple M4,,10 Core,,,,,16,,256GB,,256GB,10-core GPU,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Midnight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga 7i 14"" 2.8K OLED 2-in-1 Laptop (Intel Core Ultra 7)[1TB]",1799,https://www.jbhifi.com.au/products/lenovo-yoga-7i-14-2-8k-oled-2-in-1-laptop-intel-core-ultra-71tb,2 in 1,,14,"14"" to 14.9""",2880 x 1800,2.8K,,Intel Core Ultra 7,Intel® Core™ Ultra 7 258V,8 Core,12MB,4.8,Yes,,32,,1TB,,1TB,Integrated Intel® Arc™ Graphics 140V,1,1,2,,,Yes,v5.4,,Wi-Fi 7 (802.11 be),,70,,Windows 11 Home,Grey,15.45,317,228,1.38,,1 Year,OLED,Yes,,,,,Micro SD,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga S7 14"" 2K OLED Laptop (Ryzen AI 7)[1TB/16GB]",1349,https://www.jbhifi.com.au/products/lenovo-yoga-s7-14-2k-oled-laptop-ryzen-ai-71tb-16gb,Laptop,,14,"14"" to 14.9""",1920 x 1200,,,AMD Ryzen AI 7,AMD Ryzen™ AI 7 350,8 Core,16MB,5,Yes,,16,,1TB,,1TB,Integrated AMD Radeon™ 860M Graphics,1,1,2,,,Yes,v5.4,,Wi-Fi 7 (802.11 be),,70,,Windows 11 Home,Blue,,,,,,1 Year,OLED,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
"Lenovo LOQ Essential 15.6"" FHD 144Hz Gaming Laptop (Intel Core i5)[GeForce RTX 3050]",899,https://www.jbhifi.com.au/products/lenovo-loq-essential-15-6-fhd-144hz-gaming-laptop-intel-core-i5geforce-rtx-3050,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,,144,Intel Core i5,12450HX,8 Core,12MB,4.4,,,16,SO-DIMM DDR5-4800,512GB,,512GB,RTX3050,1,2,1,,,HD 720p with Privacy Shutter,v5.2,Yes,Wi-Fi 6 (802.11 ax),,57,,Windows 11 Home,Grey,236,22.95,359.3,1.77,,1 Year,IPS,,3.1,,,,SD card reader,,,,,6GB,Yes,NVIDIA GeForce RTX 3050,1,,,,,Yes,,,,Gaming Laptop,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Duet 11"" WUXGA Chromebook Laptop (MTK838)[128GB]",359,https://www.jbhifi.com.au/products/lenovo-duet-11-wuxga-chromebook-laptop-mtk838128gb,Chromebook,,11,"11"" to 11.9""",1920 x 1200,WUXGA,,MTK,MTK 838,8 Core,,2.6,,,4,,,,128GB,Integrated Arm Mali-G57 MC3 GPU,,,2,,,Yes,Yes,,Yes,,29,,Google Chrome,Grey,173.72,21.05,273.92,1.101,,1 Year,IPS,Yes,,,,,,,,,,,,,,128GB,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro (11th Edition) Copilot+ PC 13"" Snapdragon X Plus 10 core/16GB/512GB (Black)",1499,https://www.jbhifi.com.au/products/microsoft-surface-pro-11th-edition-copilot-pc-13-snapdragon-x-plus-10-core-16gb-512gb-black,Tablet,,13,"13"" to 13.9""",2880 x 1920,,,Qualcomm Snapdragon,Snapdragon® X Plus,10 Core,42,3.4,Yes,"Microsoft Copilot, Copilot keyboard key",16,,512GB,,512GB,Integrated,,,2,,,1440p@30 fps (QHD) video,v5.4,,Wi-Fi 7 (802.11 be),Up to 14Hrs,,4,Windows 11 Home,Black,9.3,287,206,0.895,Yes,1 Year,Touchscreen: 13” PixelSense™ Flow Display,Yes,3.4,,2,,,,,,,,,,,,Surface Pro 11th Edition,Hexagon,Up to 45,Yes,1,,6290,,,Yes,Surface Pro (11th Edition),3:2,,,,,,,,,,,,,,,,,,
"Microsoft Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Platinum)",1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-platinum,Laptop,,13.8,"13"" to 13.9""",2304 x 1536,,,Qualcomm Snapdragon,Snapdragon® X Plus,10 Core,,,Yes,"Microsoft Copilot, Copilot keyboard key",16,,512GB,,512GB,Qualcomm® Adreno™ GPU,,,2,,Yes,FHD,v5.3,,Wi-Fi 7 (802.11 be),,,,Windows 11 Home,Platinum,301,220,17.5,1.22,,1 Year,,,3.4,1,,,,,,,,,,,,,Surface Laptop 7th Edition,Hexagon,Up to 45,,1,,4755,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook Go 15 E510KA 15.6"" FHD Laptop (128GB) [Intel Celeron]",374,https://www.jbhifi.com.au/products/asus-vivobook-go-15-e510ka-15-6-fhd-laptop-128gb-intel-celeron,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core Celeron,N4500,Dual Core,4MB,2.8,,,4,DDR4 SDRAM,,,128GB,Intel® HD Graphics,1,1,1,3.2,,Yes,v5.1,,Wi-Fi 5 (802.11 ac),Up to 6.68hrs,42,3,Windows 11 Home,Blue,236.4,360.2,18.1,1.57,,1 Year,LED,,1.1,,,,,,,1,,,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Crosshair 16 HX AI 16"" QHD+ 240Hz Gaming Laptop (Intel Core Ultra 9) [GeForce RTX 5070]",2899,https://www.jbhifi.com.au/products/msi-crosshair-16-hx-ai-16-qhd-240hz-gaming-laptop-intel-core-ultra-9-geforce-rtx-5070,Laptop,,16,"15"" to 16.9""",2560*1600,,240,Intel Core Ultra 9,Ultra 9 275HX,24 Core,40,5.4,,,32,DDR5,2TB,,2TB,,1,3,,,,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),,90,4,Windows 11 Home,,27.9,359,266.4,2.5,,1 Year,IPS-Level,,2.7,3,1,,,,,,,8GB,Yes,NVIDIA GeForce RTX 5070,1,,,,,,,,5815,,,Yes,,,,,,,,,,,,,,,,,,,,
