Product_Name,Price_AUD,Link,Computer type,Laptop series,Display size (inches),Screen size range,Resolution (Pixels),Screen Resolution,Refresh Rate (Hz),Processor Type,Processor Model Number,Processor Cores,Processor Memory Cache,Processor Max. Clock Speed (GHz),Copilot+ PC,AI features,RAM (GB),RAM type,SSD storage,SSD form factor,Total Storage,Graphics processor,HDMI ports,USB 3.2 Ports,USB-C Ports,USB (Type-C) Port,Headphone port (3.5mm),Webcam,Bluetooth,Backlit keyboard,Wi-Fi,Battery life,Battery WHr,Battery cell count,Operating system,Colour,Product Height (mm),Product Width (mm),Product Depth (mm),Product Weight (kg),Lightweight,Manufacturer's warranty,Display type,Touchscreen,Processor Clock Speed (GHz),USB Ports,Thunderbolt 4.0 ports,Charge port,Card reader,RAM speeds,Manufacturer's Warranty,USB 2.0 Ports,Expandable memory slot(s),Graphics memory,Gaming PC,Graphics card series,Ethernet / LAN ports,eMMC storage,Microsoft Surface type,Neural Processing Unit (NPU),TOPS (AI metric),Travel laptop,Surface Connect ports,Thunderbolt 5.0 ports,Battery capacity (mAh),PC Gaming Device,Memory type,Performance Laptop,Tablet Type,Aspect ratio,RAM module configuration,Flash storage,Expandable storage type,USB 3.1 Ports,Intel Evo device,Response Time (ms),Warranty notes,Thunderbolt 1.0 ports,Contains button battery,Product condition,Network compatibility,USB 3.0 Ports,Mini HDMI ports,Thunderbolt 3.0 ports,Internal memory,Power supply type,Virtual Assistant Built-in,Pack quantity
"HP OmniBook 5 NG AI 16"" 2K Laptop (Ryzen AI 5)[512GB]",1899,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-16-2k-laptop-ryzen-ai-5512gb,Laptop,,16,"15"" to 16.9""",1920 x 1200,2K,,AMD Ryzen AI 5,AMD Ryzen™ AI 5 340,6 Core,16MB L3,4.8,,,16,LPDDR5x,512GB,M.2,512GB,AMD Radeon™ 840M Graphics,1,,2,,Yes,Yes,v5.4,Yes,Wi-Fi 6 (802.11 ax),,59,3,Windows 11 Home,Silver,254.8,357.7,17.9,1.79,,1 Year,IPS,Yes,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook 5 Flip 14"" 2K 2-in-1 Laptop (Intel Core i5)[Blue/256GB]",929,https://www.jbhifi.com.au/products/hp-omnibook-5-flip-14-2k-2-in-1-laptop-intel-core-i5blue-256gb,Laptop,,14,"14"" to 14.9""",1920 x 1200,2K,,Intel Core i5,Intel® Core™ i5-1334U,10 Core,12MB L3,4.6,,,16,LPDDR5x,256GB,M.2,256GB,Intel® Iris® Xᵉ Graphics,1,,2,,Yes,Yes,v5.4,No,Wi-Fi 6 (802.11 ax),,68,4,Windows 11 Home,Blue,219.9,313,18.4,1.65,,1 Year,IPS,Yes,3.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 512GB/16GB (Starlight)",1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-starlight,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Starlight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3i 14"" WUXGA Laptop (Intel Core i7)[512GB]",899,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-14-wuxga-laptop-intel-core-i7512gb,Laptop,,14,"14"" to 14.9""",1920 x 1200,,60,Intel Core i7,13620H,10 Core,24MB,4.9,,,16,,512GB,,512GB,Integrated Intel® UHD Graphics,1,2,1,,,Yes,v5.2,,Wi-Fi 6 (802.11 ax),,50,,Windows 11 Home,Grey,314.4,222.1,17.9,1.39,,1 Year,IPS,,2.4,,,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS CX14 14"" Chromebook Laptop (Intel N4500)[128GB/4GB]",229,https://www.jbhifi.com.au/products/asus-cx14-14-chromebook-laptop-intel-n4500128gb-4gb,Chromebook,,14,"14"" to 14.9""",1920 x 1080,Full HD,,Intel Core Celeron,N4500,Dual Core,,2.8,,,4,,,,128GB,,1,1,1,3.2,,HD,v5.4,No,Wi-Fi 6 (802.11 ax),,45,3,Google Chrome,Grey,21.4,324.5,17,1.4,,1 Year,,,1.1,1,,,,,,,No,,No,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M2 Chip, 256GB/16GB (Starlight)",1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-starlight,MacBook Air,,13.6,"13"" to 13.9""",2880 x 1864,Liquid Retina display,,Apple M2,,8 Core,,,,,16,,256GB,,256GB,8 core GPU,,,,,Yes,Yes,v5.3,,Wi-Fi 6E (802.11 ax),Up to 18 hours Apple TV app movie playback,,,MacOS Sequoia,Starlight,,,,,,1 Year,,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M4 Pro Chip, 512GB/24GB (Space Black)[2024]",3127,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-pro-chip-512gb-24gb-space-black2024,MacBook Pro,,14,"14"" to 14.9""",3124 x 1964,Liquid Retina XDR display,,Apple M4 Pro,,12 Core,,,,,24,,512GB,,512GB,16 core GPU,1,,,,Yes,Yes,v5.3,,Wi-Fi 6E (802.11 ax),Up to 22 hours video streaming,,,MacOS Sequioa,Space Black,,,,,,1 Year,,,,,,MagSafe 3,SDXC,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Black)",1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-black,Laptop,,13.8,"13"" to 13.9""",2304 x 1536,,,Qualcomm Snapdragon,Snapdragon® X Plus,10 Core,,,Yes,"Microsoft Copilot, Copilot keyboard key",16,,512GB,,512GB,Qualcomm® Adreno™ GPU,,,2,,Yes,FHD,v5.3,,Wi-Fi 7 (802.11 be),,,,Windows 11 Home,Graphite,301,220,17.5,1.22,,1 Year,,,3.4,1,,,,,,,,,,,,,Surface Laptop 7th Edition,Hexagon,Up to 45,,1,,4755,,,,,,,,,,,,,,,,,,,,,,,
"HP 14a-nf0005TU 14"" HD Touchscreen Chromebook Laptop (Intel N100)[64GB]",299,https://www.jbhifi.com.au/products/hp-14a-nf0005tu-14-hd-touchscreen-chromebook-laptop-intel-n10064gb,Chromebook,,14,"14"" to 14.9""",1366 x 768,,,Intel N,Intel® Processor N100,Quad Core,6 MB L3,3.4,,,4,LPDDR5,,,64GB,Intel® UHD Graphics,,,1,,Yes,HD,v5.3,No,Wi-Fi 6E (802.11 ax),,47,2,Google Chrome,Grey,215.5,18.2,325.7,1.45,,1 Year,SVA,Yes,1,1,,,,4800,,,,,,,,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 14"" HD Chromebook Laptop (128GB)",329,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3-14-hd-chromebook-laptop-128gb,Laptop,,14,"14"" to 14.9""",1366 x 768,HD,,MTK,Kompanio 520,8 Core,,2.05,,,4,DDR4 SDRAM,,,128GB,,,1,1,3.2,Yes,Yes,v5.1,,Wi-Fi 6 (802.11 ax),,47,,Google Chrome,Blue,221.8,325.9,18.6,1.3,,1 Year,TN,,2.05,,,,Micro SD,,,,,,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus TUF A16"" 16"" WUXGA Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5070]",2379,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-gaming-laptop-amd-ryzen-9geforce-rtx-5070,Laptop,,16,"15"" to 16.9""",1920 x 1200,WUXGA,165,AMD Ryzen 9,AMD Ryzen™ 9 8940HX,16 Core,,5.3,,,32,,2TB,M.2,2TB,,1,3,2,3.2,,FHD,v5.3,Yes,Wi-Fi 6E (802.11 ax),,90,4,Windows 11 Home,Grey,17.9,354,269,2.2,,1 Year,IPS,,2.4,3,,,,,,,2,8GB GDDR7,Yes,NVIDIA GeForce RTX 5070,1,,,,,,,,,Gaming laptop,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M5 Chip, 1TB/16GB (Space Black)",2799,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-16gb-space-black,MacBook Pro,,14.2,"14"" to 14.9""",3024 x 1964,Liquid Retina XDR display,120,Apple M5,,10 Core,,,,,16,,1TB,,1TB,10 Core GPU,1,,3,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 24 Hours,72.4,,MacOS Sonoma,Space Black,,,,,,1 Year,,,,,3,MagSafe 3,SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Silver)",2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-silver,MacBook Pro,,14.2,"14"" to 14.9""",3024 x 1964,Liquid Retina XDR display,120,Apple M5,,10 Core,,,,,16,,512GB,,512GB,10 Core GPU,1,,3,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 24 Hours,72.4,,MacOS Sonoma,Silver,,,,,,1 Year,,,,,3,MagSafe 3,SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S3i 15.6"" FHD Laptop (Intel Core i3)[512GB]",549,https://www.jbhifi.com.au/products/lenovo-ideapad-s3i-15-6-fhd-laptop-intel-core-i3512gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core i3,Intel® Core™ i3-1315U,6 Core,,4.5,,,8,,512GB,,512GB,,1,2,1,,,Yes,v5.2,No,Wi-Fi 6 (802.11 ax),,47,,Windows 11 Home,Grey,359.3,235,17.9,1.62,,1 Year,TN,,3.3,,,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Legion 5i 15.1"" WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5050]",2499,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5050,Laptop,,15.1,"15"" to 16.9""",2560 x 1600,WQXGA,165,Intel Core i7,Intel® Core™ i7-14700HX,20 Core,33MB,5.5,,,24,,512GB,,512GB,,1,3,2,,,Yes,v5.4,Yes,Wi-Fi 7 (802.11 be),,80,,Windows 11 Home,Black,344.9,255.35,21.54,1.9,,1 Year,OLED,,,,,,,,,,,8GB,Yes,NVIDIA GeForce RTX 5050,1,,,,,,,,,Gaming laptop,GDDR7,,,,,,,,,,,,,,,,,,,,,
"Asus TUF A16 16"" WUXGA 165Hz Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5060]",2099,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-165hz-gaming-laptop-amd-ryzen-9geforce-rtx-5060,Laptop,,16,"15"" to 16.9""",1920 x 1200,WUXGA,165,AMD Ryzen 9,8940HX,16 Core,,5.3,,,32,,1TB,M.2,1TB,,1,3,2,3.2,Yes,FHD,v5.3,,Wi-Fi 6E (802.11 ax),,90,4,Windows 11 Home,Grey,17.9,354,269,,,1 Year,IPS,,2.4,3,,,,,,,2,8GB,Yes,NVIDIA GeForce RTX 5060,1,,,,,,,,,Gaming laptop,GDDR7,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-fd0741TU 15.6"" Full HD Laptop (Intel Core i5)[256GB]",599,https://www.jbhifi.com.au/products/hp-laptop-15-fd0741tu-15-6-full-hd-laptop-intel-core-i5256gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core i5,Intel® Core™ i5-1334U,10 Core,12MB L3,4.6,,,8,DDR4,256GB,M.2,256GB,Intel® Iris® Xᵉ Graphics,1,,1,,,Yes,v5.4,No,Wi-Fi 6 (802.11 ax),,41,3,Windows 11 Home S,Silver,236,359.8,18.6,1.59,,1 Year,IPS,,1.3,2,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook 5 NG AI PC 14-he0013QU 14"" WUXGA OLED Copilot+ PC Laptop (Snapdragon X1)[512GB/16GB]",997,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-pc-14-he0013qu-14-wuxga-oled-copilot-pc-laptop-snapdragon-x1512gb-16gb,Laptop,,14,"14"" to 14.9""",1920 x 1200,WUXGA,,Qualcomm Snapdragon,QC Snapdragon X1-26-100,8 Core,30MB L2,2.97,Yes,,16,LPDDR5,512GB,M.2,512GB,Qualcomm Adreno GPU,,,2,,,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),,59,3,Windows 11 Home,Silver,217.5,312.1,12.6,1.35,,1 Year,OLED,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 512GB/16GB (Silver)",1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-silver,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Silver,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 15-inch with M4 Chip, 512GB/16GB (Midnight)",2099,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-16gb-midnight,MacBook Air,,15.3,"15"" to 16.9""",2880 x 1864,,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,10-core GPU,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Midnight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
