,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Warranty,Price (AUD),Link
26,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-starlight
27,Lenovo,"IdeaPad Slim 3i 14"" WUXGA Laptop (Intel Core i7)[512GB]",14.0,IPS,1920 x 1200,Intel Core i7,2.4,10 Core,Integrated Intel® UHD Graphics,16,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.39,1 Year,,899,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-14-wuxga-laptop-intel-core-i7512gb
28,ASUS,"CX14 14"" Chromebook Laptop (Intel N4500)[128GB/4GB]",14.0,,1920 x 1080,Intel Core Celeron,1.1,Dual Core,,4,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.4,1 Year,,229,https://www.jbhifi.com.au/products/asus-cx14-14-chromebook-laptop-intel-n4500128gb-4gb
29,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Starlight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-starlight
30,Apple,"MacBook Pro 14-inch with M4 Pro Chip, 512GB/24GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4 Pro,,12 Core,16 core GPU,24,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,,3127,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-pro-chip-512gb-24gb-space-black2024
31,Microsoft,"Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Black)",13.8,,2304 x 1536,Qualcomm Snapdragon,3.4,10 Core,Qualcomm® Adreno™ GPU,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.22,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-black
32,HP,"14a-nf0005TU 14"" HD Touchscreen Chromebook Laptop (Intel N100)[64GB]",14.0,SVA,1366 x 768,Intel N,1.0,Quad Core,Intel® UHD Graphics,4,LPDDR5,64GB,Wi-Fi 6E (802.11 ax),Google Chrome,1.45,1 Year,,299,https://www.jbhifi.com.au/products/hp-14a-nf0005tu-14-hd-touchscreen-chromebook-laptop-intel-n10064gb
33,Lenovo,"IdeaPad Slim 3 14"" HD Chromebook Laptop (128GB)",14.0,TN,1366 x 768,MTK,2.05,8 Core,,4,DDR4 SDRAM,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.3,1 Year,,329,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3-14-hd-chromebook-laptop-128gb
34,Asus,"TUF A16"" 16"" WUXGA Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5070]",16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,2TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,2.2,1 Year,,2379,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-gaming-laptop-amd-ryzen-9geforce-rtx-5070
35,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2799,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-16gb-space-black
36,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Silver)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-silver
37,Lenovo,"IdeaPad S3i 15.6"" FHD Laptop (Intel Core i3)[512GB]",15.6,TN,1920 x 1080,Intel Core i3,3.3,6 Core,,8,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.62,1 Year,,549,https://www.jbhifi.com.au/products/lenovo-ideapad-s3i-15-6-fhd-laptop-intel-core-i3512gb
38,Lenovo,"Legion 5i 15.1"" WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5050]",15.1,OLED,2560 x 1600,Intel Core i7,,20 Core,,24,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.9,1 Year,,2499,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5050
39,Asus,"TUF A16 16"" WUXGA 165Hz Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5060]",16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,1TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,,2099,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-165hz-gaming-laptop-amd-ryzen-9geforce-rtx-5060
40,HP,"Laptop 15-fd0741TU 15.6"" Full HD Laptop (Intel Core i5)[256GB]",15.6,IPS,1920 x 1080,Intel Core i5,1.3,10 Core,Intel® Iris® Xᵉ Graphics,8,DDR4,256GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,,599,https://www.jbhifi.com.au/products/hp-laptop-15-fd0741tu-15-6-full-hd-laptop-intel-core-i5256gb
41,HP,"OmniBook 5 NG AI PC 14-he0013QU 14"" WUXGA OLED Copilot+ PC Laptop (Snapdragon X1)[512GB/16GB]",14.0,OLED,1920 x 1200,Qualcomm Snapdragon,2.0,8 Core,Qualcomm Adreno GPU,16,LPDDR5,512GB,Wi-Fi 6E (802.11 ax),Windows 11 Home,1.35,1 Year,,997,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-pc-14-he0013qu-14-wuxga-oled-copilot-pc-laptop-snapdragon-x1512gb-16gb
42,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Silver)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-silver
